,date,retweets,favorites,label,text
58143,05/08/19 3:25,0,2,1,"So 1st, unless it has a burst or full auto selection, it's not a ""weapon of war."" 2nd, I suggest you look into US vs Miller as the SCOTUS has flat out stated that the *ONLY* weapons protected by the 2A are weapons with a military purpose."
54384,05/08/19 4:44,0,0,2,"Yay it's about time,'Enough is enough': Cloudfare terminates 8chan, an online meeting place for 'extremist hate' https://www.yahoo.com/newsroom/vibes/us-news/v-ecd5e8af-dc90-3332-9efb-d522bf6b8dfa_c-c34088a3-9ac6-355b-9a53-41e4f4c3dad1_a-3e9562f7-623d-328f-8651-c1939b649bb8 ’_’__"
53037,05/08/19 5:21,0,0,3,RT please #ElPaso #elpasotx #ElPasoShootingpic.twitter.com/2RLyIBvaJS
69966,05/08/19 0:23,0,1,3,"8chan no more involved in shootings than Fox, Drudge or Conservative Treehouse. It's a message board, not a mob with their faces covered & carrying clubs, marching down the street. They acclaim non-violence on top of their title page. What individuals do is their own choice. https://twitter.com/LisaMei62/status/1158143559150837760 ’_’__"
66323,05/08/19 1:27,0,1,3,"No, you're not alone in that thought."
16113,03/08/19 21:35,0,0,3,Real question. Is there anyone who IS NOT tired of this?! #ENOUGH #ElPaso https://amp.cnn.com/cnn/2019/08/03/us/el-paso-shooting/index.html ’_’__
6903,03/08/19 22:58,0,0,2,ExÎ‘ÎöACTÎ‘Îöly! Think of them like a politician's press release. BOTH #Propaganda. Guns DO kill people. By willful ignorance and INACTION. #ElPasoMASSACRE #GunControlNow
65717,05/08/19 1:37,0,9,3,1) 8 chan has always been a cesspool of insane (far left and right) nutjobs 2) which 8chan are they talking about?
13905,03/08/19 21:52,2,4,3,The #ElPaso shooter is basically trump: Pro NRA Pro trump Pro Republican Pro right wing conspiracy theories Pro segregation Pro white nationalism Anti immigrant Anti Democrat Anti Mainstream News trump and his republicans are complicit in today's mass murder.
39783,05/08/19 12:49,0,0,3,"8chan has become an increasingly popular echo chamber for hate, hotbed for radicalization and go-to site for mass killers who dream of infamy. https://www.huffpost.com/entry/what-to-know-about-8chan-the-extremist-forum-where-mass-killers-find-an-audience_n_5d476ff5e4b0acb57fce642b?ncid=engmodushpmg00000004 ’_’__ via @HuffPost"
68527,05/08/19 0:49,1,4,2,Move your feet! #GunControlNow #GunViolencehttps://twitter.com/GregHale1/status/1158076400966017024 ’_’__
13505,03/08/19 21:55,0,0,3,"I offer thoughts and prayers to the victims and families of the #ElPaso Walmart shooting. In part, because i am not in the position to effect change. To those who are, those in Washington, yes offer prayers but combine it with ACTION. #massshooting should not be apart of life."
36719,05/08/19 13:43,0,1,2,RiseUp #RESISTERS #RiseUp #StopGunViolence #VoteOutGOP #NRABloodMoney #NRAIsATerroristOrganization #IBlameTheGOP #VoteThemOut #VoteBlueToSaveAmerica #VoteBlueNoMatterWho2020
29996,03/08/19 19:25,0,1,2,#GunReform is desperately needed in our country to stop these gun violences. https://twitter.com/CharisHamilton8/status/1157731561577619456 ’_’__
21682,03/08/19 20:46,0,0,2,This is America. #ElPaso #GilroyGarlicFestival #GunControlNow
53061,05/08/19 5:20,3,8,2,"Of course they don't ..they are part of the problem, destroyed our towns and cities by decimating small businesses now they destroy our towns and cities by selling the bullets and the guns that destroy our country. @Walmart #ElPaso"
46012,05/08/19 10:20,0,0,2,"I just delivered this letter from Kathryn in Carson City, Nev. to @MarkAmodeiNV2 #NVpols #NVpolitics #GunControlNow pic.twitter.com/WgShXRuFQt"
15121,03/08/19 21:43,2,3,2,Today's shooting in El Paso may have something to do with attitudes toward gun ownership in the US. #GunControl #GunSense #GunControlNow #AssaultWeaponsBan #ImpeachTrump #GOP #VoteThemOut #ImpeachTrump #TrumpLies #Resist #Resign #UniteBlue #ImpeachDonaldTrump #PutinPuppetpic.twitter.com/edsRhtnFSN
69704,05/08/19 0:29,0,0,3,"First, my thoughts go to the victims of both mass shootings in both #ElPaso and #Dayton. I'm very appalled at what's going on. It's why I'm never on Twitter these days. It's why I can never express myself. It's horrible that three years ago I'm happy and then three years later..."
17507,03/08/19 21:23,0,0,3,Shut down 4chan and 8chan and have Hiroyuki Nishimura put on trial along with all the other administrators.
6376,03/08/19 23:04,0,0,3,"A white supremacists again killed 19 in Mass shooting in #walmart but still Muslims are terrorist, #ElPaso"
19730,03/08/19 21:03,0,1,2,#voteblue and #gunsense is the only path forward
63301,05/08/19 2:10,1,1,3,’_’_’_we are terminating 8chan as a customer effective at midnight tonight Pacific Time. The rationale is simple: they have proven themselves to be lawless and that lawlessness has caused multiple tragic deaths.' https://twitter.com/drewharwell/status/1158197708802445312 ’_’__
51347,05/08/19 6:14,0,0,2,. @realDonaldTrump Those with severe mental health issues should not be cleared to own guns or hold large amounts of ammunition You Gun Law processes need to reflect this surely But of course the NRA hold all the weapons #GunControl #NRAbullies
58793,05/08/19 3:14,0,0,2,Everybody be safe where ever you go.. crazy stuff going on in this world.. #StopGunViolence
23875,03/08/19 20:26,1,2,2,Please just go back and play golf you could cares less about all this mass murders and shootings. #EnoughIsEnough #GunControlNow #gunreformnow
23597,03/08/19 20:28,0,3,3,Hey #MAGA. This El Paso Walmart Shooting? It was probably a white guy. #ElPaso #ElPasoShooting #massshooting #walmartshooting #MSNBC
31904,03/08/19 19:00,0,4,2,Did a good guy with a gun stop the bad guy with a gun this time? Or is that argument out of the window #ElPaso
19458,03/08/19 21:05,0,0,1,Its AK47 which is banned. This is what #GunControlNow lobby wants. Pour illegal weapons into illegal market after banning guns !!
34914,03/08/19 15:42,2,4,3,"Starr Andrews: 3T-3T-2T, 3F, 1Lo, 3Flutz<-2T, 3Lo<(step out), 3S<-2A<, 2A, 94.05, 147.96 into 1st"
32353,03/08/19 18:53,2,3,3,Our prayers to all at #ElPaso #TX and specially all #Mexican & #Mexican descent community.
37407,05/08/19 13:32,0,0,2,#Trump would have to have a soul and not be a sociopath so not gonna happen. #GunControlNow #massshootingshttps://twitter.com/BillKristol/status/1158367937692098567 ’_’__
59856,05/08/19 2:58,0,2,3,8chan was taken down
66116,05/08/19 1:30,0,0,3,8chan is an inbred white nationalist breeding ground. Throw the whole thing away. https://twitter.com/nytimes/status/1158082694762434561 ’_’__
12185,03/08/19 22:06,0,0,3,So explain me why? There's the other guy who said that this Manifesto was posted together with his mugshot on an 8chan thread but I haven't found it yet and he's not posted the thread himself yet
48127,05/08/19 8:38,3,18,2,"1. Mental illness exists all over the world. Violent mass shootings of this kind exist mainly just in the US. 2. The mentally ill are not all violent, dangerous criminals. Most need to be cared for, not feared. #guncontrolnow"
63122,05/08/19 2:12,0,0,2,I was just talking about this exact thing. We need to VOTE OUT every last politician who won't support #GunControlNow Register to vote: https://www.usa.gov/register-to-vote ’_’__
44894,05/08/19 11:00,0,0,3,"After more racist shootings, take one guess which registrar 8chan just switched to - https://www.igoldrush.com/newsfeed/ig228852 ’_’__"
1555,03/08/19 23:47,0,0,3,@realDonaldTrump should be put in jail the first chance democrats get to after winning. He’_’_Î_s a big factor in this massacre in #ElPaso shooting where 20 innocent lives lost because of hatred invoking
42812,05/08/19 11:49,2,1,3,"HEARTBREAKING: 25-year-old Jordan Anchondo, a mother of three, was shopping for back-to-school supplies for her kids when she was shot to death in #ElPaso. Doctors believe she died while shielding her 2-month-old son from gunfire. #ElPasoShooting http://bit.ly/2Ki8l0w"
62088,05/08/19 2:26,0,0,3,This. And I’_’_Î_m pro 8chan getting the boot
28356,03/08/19 19:42,1,4,2,"’_’_’ŒIf more guns made us safer, we'd be the safest country on earth.’_’_Îù - @PeteButtigieg Very true #massshooting #ElPaso #ThisIsNotNormal"
55235,05/08/19 4:22,0,1,1,So more strict gun laws then the doesn't make thinks better. That nice to know! So applying #GunControl to South side of Chicago is pointless because it's basically like a 3rd world country.
71062,05/08/19 0:04,0,2,2,"As a #NorthCarolina resident, let me just say to you we need #GunControlNow to combat #GunViolence committed by people identifying with #WhiteNationalistTerrorism at the encouragement of the #RacistInChief. So fix it."
53419,05/08/19 5:09,23,28,1,"The Democrats quandary is mass shootings fits their anti-2A agenda BUT gun the violence in Dem. governed cities with strict gun laws exposes their incompetence in keeping residents safe & since it’_’_Î_s mostly black lives, it proves that black lives really don’_’_Î_t matter to Democrats."
42583,05/08/19 11:54,0,0,2,"#Trump is complicit in these mass shootings and bears direct responsibility because he spews and supports #hatred, #bigotry, and #prejudice. #massshootings #GunControlNow #gunreformnow #StopGunViolence #StopHate #EnoughIsEnough #EndGunViolence"
24358,03/08/19 20:21,0,0,1,"People who commit violent crime and plan to take lives don’_’_Î_t care about laws. They’_’_Î_re gonna get a gun however they need to on the black market or by stealing one. If more people 2a carried, wed all be safer."
60258,05/08/19 2:53,10,12,2,@ucdavis researchers are studying the causes & impacts of #GunViolence & how to curb this national health epidemic. Support their work! Donate here: https://health.ucdavis.edu/vprp/giving/index.html ’_’__ #EndGunViolence #TakeAction #gilroyshooting #ElPasoTerroristAttack #SandyHook #GunControlNow #ThisIsOurLane
10165,03/08/19 22:26,0,0,2,Hey Trump what do you think about what happened in #ElPaso? Or that’_’_Î_s right you’_’_Î_re jumping for joy & giving him a pat on the back for being a terrorist. #GunControlNow #EndGunViolence
7905,03/08/19 22:47,0,2,2,#walmartshooting another act of domestic white supremacist terrorism. #guncontrolnow #GunReformNow mvmnts need to be more specific: we’_’_Î_re behind on a plan for disarming white supremacist terrorists. #ElPasoTerroristAttackhttps://twitter.com/crimethinc/status/1157743867879464960 ’_’__
42042,05/08/19 12:06,0,0,3,"Nations must work together to stop lone wolf attackers, says Jens Stoltenberg. #massshootings #ElPasoTerroristAttack #GunControl https://www.asiavillenews.com/article/lone-wolf-attackers-inspire-one-another-nato-chief-11031 ’_’__"
18044,03/08/19 21:18,3,2,2,"18 people are confirmed Dead in the #ElPasoShooting 18, 18 Dead. Let that sink in 18 DEAD And yet the 21yr old White male lives. The 21yr old White male will wake up tomorrow. 18 CONFIRMED DEAD. #NeverAgain #GunControlNow"
23047,03/08/19 20:33,1,5,1,"Just heard some analysis on tv... ""Imagine you're in an open carry state. Sitting in the outside area of cafe. Someone gets out of car with assault rifle slung over shoulder and starts walking towards the restaurant."" Scary scenario What would you do? #activeshooter #ElPaso"
48123,05/08/19 8:39,0,4,2,Pro 2A people swear they would rather die than give up arms. Vast majority of them never fired a gun towards another person who. Was actually firing back.
7801,03/08/19 22:48,0,0,3,"In custody- how many active shooters caught with weapon, killing people are confronted by police and come out alive ---- it's a miracle. Or maybe, it's something else. #ElPaso https://twitter.com/TexasTribune/status/1157783031257686018 ’_’__"
5986,03/08/19 23:08,0,0,2,"We are tired of Americans being murdered in schools, churches, malls, festivals, etc. It's time for the ""pro-life"" GOP and our Russian-installed ""president"" to get off their butts and do something about it! El Paso #GunControlNow #massshooting #elpasostrong #walmartshooting"
50011,05/08/19 7:08,0,1,2,"Right-wingers and conservatives bring up the tired old hashed out argument about how the 2A and guns rights ""protects us from tyranny"". Yet it's those same ""feelings before facts"" arguments that easily fall apart when you apply the slightest bit of logic to it. People's chances"
20843,03/08/19 20:54,0,0,2,"That’_’_Î_s it. I’_’_Î_m tired of worrying, give us gun control NOW! #GunControlNow"
4188,03/08/19 23:27,347,573,3,Ali Alexander explains the warming cold civil war and his #ElPaso comments https://www.pscp.tv/w/cBYP4TU5MDExMHwxT2RLcnZ6eXZET0tYvjVNHKz7qYG5Kf--ZwLIgwDVc1YcFm8YmRbBZ1o-Cns= ’_’__
22951,03/08/19 20:34,1,7,3,The El Paso shooting at the Walmart hit waaaay too close to home for me. I’_’_Î_m glad my family is okay but my heart is broken for the people not going back to their families today. Something has to change. #ElPaso
36007,03/08/19 1:45,0,1,2,TY @ChrisMurphyCT for inspiring #GSU2019 words and your 15 hour post #pulse #gunsense filibuster. You’_’_Î_re right. 2020 will be a fulcrum of our social change movement. Getting rid of 18 @SenateGOP @HouseGOP @NRA A-rated lapdogs in 2016 is a good start! @MomsDemand has your back!pic.twitter.com/SBaoGjbTpx
52030,05/08/19 5:50,0,0,3,"Following Mass Shooting, Security Service Cloudflare Ends Online Protections For 8chan http://bit.ly/2T6wuK1"
6344,03/08/19 23:04,0,3,3,"He's had a YouTube video removed which was anti-latino. There's plenty of sociopathic markers on this account. At some point, he depersonalised Latino people & reduced them to animals. He already despised animals & I strongly suspect he's got a history of hurting them. #elpaso"
52997,05/08/19 5:22,2,5,2,no they didn't pull the trigger but there could've been steps to prevent this. we need stricter gun laws. and we need to hold our politicians accountable for not passing them to ban assault rifles. not one but TWO mass shooting in a day. innocents dead and no talk of #GunControl
64847,05/08/19 1:50,1,3,2,Dozens of people killed. Many more injured. And now the #2A talking point is about how counting 9 people dead shouldn’_’_Î_t be counted as a #massshooting. This is what we have become.
67491,05/08/19 1:07,0,0,3,It's a mental-health issue. That's the excuse many are using for not dealing with America's gun crisis. #ElPaso #Dayton
4356,03/08/19 23:25,1,2,2,When you see the devastation that surrounds us it sure makes you realize just how precious life is . #ElPaso #FuckTheNRA #nomorethoughtsandprayers
29406,03/08/19 19:31,1,5,3,"KSTB Enterprises is praying for the victims, families and community of El Paso, Texas. #ElPaso #elpasoshooting #PrayersfortheInnocentVictims #kstb #ElPasoStrong #PrayForElPasopic.twitter.com/ltsSjYec61"
8314,03/08/19 22:44,0,0,2,". @PeteButtigieg: ""Are we or are we not prepared to stand up to the gun lobby and are we or are we not prepared to stand up to white nationalists?"" #ElPasoShooting #GunControlNow #gunreformnow #MSNBC"
30174,03/08/19 19:23,0,1,3,#BREAKING: Socorro ISD says ’_’_’Œall Socorro ISD trainings and student activities’_’_Îù have been cancelled. #ElPaso
47601,05/08/19 9:06,0,0,3,"Per DailyBeast, the father of the El Paso domestic terrorist is a mental health counselor, who must’_’_Î_ve felt powerless watching his son sink into nihilism required to radicalize to become an 8chan white supremacist: https://www.thedailybeast.com/suspected-el-paso-shooter-patrick-crusius-dad-once-sought-to-help-gun-violence-victim ’_’__"
59882,05/08/19 2:57,0,1,2,"It's all so bloody and real that it's working marvelously at getting people who WERE die-hard pro-2A to change their minds. Killing babies is WORKING. And there's a convenient scapegoat. Again, hypothetical."
33157,03/08/19 18:36,2,10,3,I have every confidence in the world that El Paso law enforcement will carry the city through this. #elpaso
26462,03/08/19 20:01,4,10,2,"Once again, as the Spineless Republicans & Lawless Trump send thoughts and prayers to the latest mass shootings in El Paso, I say vote them out and provide safe surroundings with stricter gun laws. Meanwhile, mass shootings have increased more than 80% since Trump! #GunControl"
4236,03/08/19 23:27,0,2,2,#BanAssaultWeapons PLEASE! NOW!
9579,03/08/19 22:32,4,12,2,Tell your GOP comrades to do something about it. Pass some damn common sense gun laws. Enough is enough. Stop with the propaganda that Democrats want to do away with 2A. That is not what common sense gun laws do.
19127,03/08/19 21:08,1,5,3,Sending love to our AO family in El Paso and your whole community
65773,05/08/19 1:36,0,0,3,"Borderline is at the intersection of the 101 and the 23 freeways. My parents laughed when it opened at all the urban cowboys in suburbia. My boyfriend used to play pool there. I drive by it a few times a week, I get to observe the boards still over the windows. #elpaso #dayton"
65039,05/08/19 1:48,0,0,3,Waiting patiently for @realDonaldTrump to address the nation with his new gun control plan after the weekend massacres by Americans on fellow Americans. #DomesticWhiteTerrorism #walmartshooting #daytonshooting
66432,05/08/19 1:25,0,0,2,"Thoughts and prayers had heartfelt meaning once upon a time. But after countless mass shootings since Sandy Hook, three mass shootings in a single week, this all looks like a ridiculous, embarassing joke. #GunControlNow pic.twitter.com/BJgpzQVARo"
20409,03/08/19 20:58,0,2,2,Strange this happened in texas with all those good people with guns running around and it being one of the easiest states to get a gun. I thought looser gun laws and open carry prevented this sort of thing from happening? #GunControlNow
62567,05/08/19 2:20,0,1,3,Cloudflare pulling 8Chan support after El Paso shooting https://www.axios.com/cloudflare-pulling-8chan-support-after-el-paso-shooting-a6ec19b3-919f-42d5-9433-27fee44bdb3f.html?utm_source=twitter&utm_medium=twsocialshare&utm_campaign=organic ’_’__
33563,03/08/19 18:25,0,0,3,"Still active, stay indoors and be safe #elpaso #texas #915area #eptx #cielovista #texas #texasshootinghttps://twitter.com/KFOX14/status/1157711707957071872 ’_’__"
37961,05/08/19 13:23,0,1,3,"The Leftist narrative after literally every mass shooting is ""RETHUGLIKKANS BAD, #GunControlNow, #WhiteSupremacistInChief!!!"" They refuse to do anything to actually FIX the problem."
19425,03/08/19 21:06,1,0,3,Are you enjoying your weekend golfing & promoting your private business at US taxpayer expense? You & GOP have done nothing to stop gun violence. Just the opposite. Your racist hate speech incites white men to violence. You are a cancer on our country. #ElPaso #ImpeachTheMF
15721,03/08/19 21:38,0,1,3,Not sure if numbers are #facts but seems about right. #massshooting #ElPaso
34860,03/08/19 16:03,0,0,3,"Although King scores, Callum Wilson 1G 2A."
69862,05/08/19 0:25,1,2,3,"Oops. You forgot to include the requisite thoughts and prayers, Ronna. Or did you folks @GOP finally run out? #ElPasoTerroristAttack #daytonshooting"
39322,05/08/19 12:58,0,0,3,"The bodies in El Paso, Texas, and Dayton, Ohio weren't even cold yet when the Democrats and the Media started blaming President Trump for these two tragedies. - #CNN #Dayton #Democrats #ElPaso #Exploit #FakeNews #MAGA #Trump #Media #MSNBC #Nazi http://bit.ly/2KxS4DE pic.twitter.com/xrX1digza7"
67353,05/08/19 1:10,1,0,2,Its time to seriously consider #RepealThe2ndAmendment. #ElPasoShooting #daytonshooting #massshootings
13848,03/08/19 21:52,1,3,2,#MoscowMitch works against the American people when he prevents votes on common sense gun laws. #GunControlNow
44028,05/08/19 11:22,0,0,1,... but new gun laws won't work. #GunControlNow #gunreformnow #GunViolencehttps://twitter.com/HillaryWarnedUs/status/1157776241459630080 ’_’__
36630,05/08/19 13:45,0,1,2,"Such evil in this world. tRump found the spark, blew into his his putridness and the fire roars. He owns The Dayton and El Paso murders. #ImpeachTrumpNOW #GunControlNow"
69486,05/08/19 0:33,0,0,2,Some of the Most Recent Deadly US Mass Shootings https://www.snopes.com/ap/2019/08/04/some-of-the-most-recent-deadly-us-mass-shootings/ ’_’__ GOP & #MoscowMitch are criminally Lazy! #GunControlNow
57491,05/08/19 3:35,1,0,3,http://nbcnews.com : El Paso shooting is third connected to 8chan Internet forum. https://www.nbcnews.com/nightly-news/video/el-paso-shooting-is-third-connected-to-8chan-internet-forum-65301573823 ’_’__ via @GoogleNews
63323,05/08/19 2:10,6,54,3,This may be the end of 8chan. https://twitter.com/aprilaser/status/1158190336587337728 ’_’__
32148,03/08/19 18:56,0,3,3,Oof. This breaking news is hard to hear. #ElPaso was my home. Checking in with people now.
50757,05/08/19 6:37,0,0,3,"They were all white, in their early 20s and presented with the outward signs of asocial tendencies and the resentment that went along with it. Do the parents carry a share of the blame for raising these misfits? #8chan #ElPasoTerroristAttack #ElPasoStrong #DaytonStrong #Crusius"
19153,03/08/19 21:08,0,0,2,"So, that's your job. You've observed HUNDREDS of these incidents in 2019. Have you seen enough? We have. #DoYourJob #massshooting #GunControlNow"
14870,03/08/19 21:44,0,0,3,"Every day, a new shooting incident in the US. What does our government do? Nothing. #texasshooting #ElPaso"
47473,05/08/19 9:13,0,1,3,Cloudflare pulls 8chan support after El Paso shooting https://www.axios.com/cloudflare-pulls-8chan-support-after-el-paso-shooting-a6ec19b3-919f-42d5-9433-27fee44bdb3f.html?utm_source=twitter&utm_medium=twsocialshare&utm_campaign=organic ’_’__ @axios
27707,03/08/19 19:48,0,1,3,#cielovistamall is the area ... to much information from @CNN @MSNBC @FoxNews to know the situation.. just stay inside in the area. #ElPaso #elpasotexas
6415,03/08/19 23:03,0,1,2,#EndGunViolence If Only...
24167,03/08/19 20:23,0,0,2,"Another day , another mass shooting, Gilroy garlic festival and elpaso Walmart mass shooting both happened in a week, 30 people dead , what's happening , fuck NRA, fuck the system..."
43426,05/08/19 11:36,0,0,3,8chan's creator says website should be shut down #FakeNewsMedia STOP LYING ’_ÎÅ_ @ABC’_ÎÅÎ©https://abcnews.go.com/Technology/video/8chans-creator-website-shut-64778425 ’_’__
39131,05/08/19 13:02,0,0,3,8chan cast out by Cloudflare after El Paso shooting http://dlvr.it/R9htp1 pic.twitter.com/HnKKosFrqb
36816,05/08/19 13:42,0,3,2,Regarding the recent #massshootings in the US @MaximRoyreal and @AnnaBananaHops shared some impacting but truthful images... #GunControlNow #ShadowFampic.twitter.com/9ydyDph0Dk
875,03/08/19 23:53,0,0,2,"Found nowhere in your statement: - act of domestic terrorism - white supremacist - a call to pass legislation to decrease the likelihood of an ""event"" such as this from happening again. #GunControlNow #elpasoshooting"
39073,05/08/19 13:03,0,0,3,"Wait, what? Mexican government says it will seek extradition of El Paso shooter #ElPaso http://a.msn.com/01/en-us/AAFkiXr?ocid=st ’_’__"
28117,03/08/19 19:44,0,2,3,Girl ! People are getting killed in #ElPaso pray for us hold ur Announcement.
50588,05/08/19 6:44,0,0,2,"Wow. Good for you, @BetoORourke #GunControlNow https://twitter.com/ericbradner/status/1158216987908218882 ’_’__"
62788,05/08/19 2:17,735,4213,3,CONFIRMED: @Cloudflare has discontinued their service to 8chan. https://twitter.com/kevinroose/status/1158188641946165248 ’_’__
36589,05/08/19 13:45,2,2,2,Counties n the US that held 2016 #TrumpEgoRally saw 226% increase n #HateCrimes #ruhle The call is coming from @WhiteHouse we've had 300 mass shootings THIS YR ALONE! WAKE UP! #terroristintheWhiteHouse #BanFoxNews #BanAssaultWeapons #GunConrolNow #DomesticTerroristInChief
64644,05/08/19 1:53,0,0,2,Remember this Trump tweet? #SilenceEqualsCompliance #GunControl #NRABloodMoney #MoscowMitch #LeningradLindsay #ImpeachTheMF #GOPComplicit #Parkland #TrumpRacist #TrumpDividesUs #TrumpLies #TrumpTerrorist #TrumpHate #VoteBlueNoMatterWho #GunViolence #MassacreMitchpic.twitter.com/N8LMTFLhyJ
57782,05/08/19 3:31,1,4,3,"The argument that shutting down 8chan won't work is pretty dumb. These people are losers. They're not doers. They might eventually find other sites, but they won't suddenly spawn 1000s of such sites. They're losers. And they're lazy."
43464,05/08/19 11:35,0,0,3,Cloudflare terminates 8chan account over ’_’_’_hate-filled’_’_Î_ content > https://ift.tt/2ZyCldt #technews #technology #newspic.twitter.com/WOXxemm1Te
4781,03/08/19 23:21,1,4,2,#SandyHook should have ended this debate. #GunControlNow
18546,03/08/19 21:13,0,5,2,"According to @GunDeaths as of August 3, the US has been home to 249 mass shootings in 2019. In the words of Dr. King, How long will it take to stop this? ’_’_’ŒNot long.’_’_Îù #marchonthenra #nomoredeaths #elpaso @NRA - National Rifle Association of America pic.twitter.com/zRrXniKOTs"
42413,05/08/19 11:58,0,0,3,"(1/2) My fianc’_Î© literally told me in the car yesterday, ’_’_’Œthank God you’_’_Î_re pale.’_’_Îù while we were listening to NPR and the updates and commentary on the #ElPaso shooting. I’_’_Î_m a Irish/Hispanic and therefore my mixed race is not evident in my overall skintone. But think about that. We"
19979,03/08/19 21:01,1,0,3,Thoughts and prayers do nothing. . @TheDemocrats ’_’_’Â DO SOMETHING #gunreformnow #GunControlNow #guncontrol #gunsense #gunreform #2a #
62148,05/08/19 2:25,0,0,3,Three mass shootings this year began with a hateful screed on 8chan. Its founder calls it a terrorist refuge in plain sight. https://www.washingtonpost.com/technology/2019/08/04/three-mass-shootings-this-year-began-with-hateful-screed-chan-its-founder-calls-it-terrorist-refuge-plain-sight/ ’_’__
51439,05/08/19 6:11,0,0,2,"It's not so much as outdated as it is misinterpreted by #2a folks. But yes, still outdated."
6465,03/08/19 23:03,0,0,2,"My thoughts (deviant and self serving) and prayers (I’_’_Î_ve never been to church) are with those victims of today’_’_Î_s shooting. Thoughts? Check. Prayers? Check. Well, my work here is fine. #GunControlNow"
50614,05/08/19 6:43,0,0,3,"RT DevinCow: RT BrianNewCBS: BREAKING: #Cloudflare to stop providing service to #8chan, the site which was used by the #ElPaso gunman to post his manifesto. Cloudflare CEO said, ’_’_’ŒThey have proven themselves to be lawless and that lawlessness has caused’_’__ https://blog.cloudflare.com/terminating-service-for-8chan/ ’_’__"
19799,03/08/19 21:03,0,1,3,Gov. Abbott and other politicians reacted to the mass shooting in #ElPaso today. https://bit.ly/2KpfL0C
2619,03/08/19 23:40,0,0,2,#MagaTheNewIsis #TrumpIsATerrorist #AccompliceTrump #BanAssaultWeapons #ENOUGH SICK OF THE THOUGHTS AND PRAYERS! NO WHERE IS SAFE! YOU CAUSED THIS WITH YOUR DAMN EVIL MOUTH! NOTHING ABOUT YOU IS GODBLIKE ITS PURE EVIL! #ImpeachNowhttps://twitter.com/realDonaldTrump/status/1157757443901972480 ’_’__
65309,05/08/19 1:44,0,0,2,this is fucking horrible. no one should be going through this.. #GunControlNow https://twitter.com/anthonyjr_/status/1158164333735493634 ’_’__
42907,05/08/19 11:47,0,1,2,Blah blah blah when are you going to do something to prevent it? After all YOU are directly responsible Instead of thoughts & prayers give us policy & change its like you dont actually care & would rather not be talking about it #GunControlNow #GunControlNow #EndTheNRA
20310,03/08/19 20:58,0,0,3,Free commerce. Liberals against #ElPaso
7301,03/08/19 22:54,0,0,2,Aurora: AR-15 Sandy Hook: AR-15 San Bernardino: AR-15 Orlando: AR-15 Vegas: AR-15 Sutherland Springs:!AR-15 Parkland: AR-15 Gilroy: AK-47 El Paso: AK-47 We need #GUNCONTROL
25955,03/08/19 20:07,0,0,2,"More victims. While shopping at Walmart for goodness sake. They sell guns, don’_’_Î_t they? My heart goes out to all affected. USA needs #GunControlNow"
59614,05/08/19 3:01,1,4,3,"Australian media has labeled it as a ""white-supremacist"" site, accessible on the open web & that it shouldn't be allowed to exist Oddly though Australian Telco's have locked out 8chan since the Christchurch manifesto and live feed For those running a VPN 8chan is all good to go"
65900,05/08/19 1:34,0,1,1,Liberals would have you believe that more #GunControl will end or reduce mass shootings. #LiberalLies
